,condition,mascot_name,Participant_Public_ID,hit_binary
186,recog_random,Kounudoun,5d394d70daffca0017d5fc27,1
188,recog_random,Jarbo,5d394d70daffca0017d5fc27,1
192,recog_random,Kapal,5d394d70daffca0017d5fc27,0
194,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
197,recog_random,Fukaya,5d394d70daffca0017d5fc27,1
201,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
204,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
207,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
210,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
213,recog_random,Kapal,5d394d70daffca0017d5fc27,1
216,recog_random,Kapal,5d394d70daffca0017d5fc27,1
218,recog_random,Kapal,5d394d70daffca0017d5fc27,1
221,recog_random,Kounudoun,5d394d70daffca0017d5fc27,1
225,recog_random,Jarbo,5d394d70daffca0017d5fc27,1
228,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
231,recog_random,Kapal,5d394d70daffca0017d5fc27,0
234,recog_random,Kounudoun,5d394d70daffca0017d5fc27,1
237,recog_random,Kounudoun,5d394d70daffca0017d5fc27,1
239,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
243,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
245,recog_random,Kapal,5d394d70daffca0017d5fc27,0
248,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
251,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
254,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
258,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
260,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
264,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
266,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
267,recog_random,Jarbo,5d394d70daffca0017d5fc27,1
270,recog_random,Kapal,5d394d70daffca0017d5fc27,1
274,recog_random,Kapal,5d394d70daffca0017d5fc27,0
277,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
279,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
283,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
286,recog_random,Fukaya,5d394d70daffca0017d5fc27,1
288,recog_random,Jarbo,5d394d70daffca0017d5fc27,1
291,recog_random,Kounudoun,5d394d70daffca0017d5fc27,1
294,recog_random,Kapal,5d394d70daffca0017d5fc27,0
298,recog_random,Fukaya,5d394d70daffca0017d5fc27,1
301,recog_random,Kapal,5d394d70daffca0017d5fc27,0
303,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
306,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
310,recog_random,Kapal,5d394d70daffca0017d5fc27,0
313,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
315,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
319,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
322,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
325,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
328,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
331,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
333,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
337,recog_random,Kapal,5d394d70daffca0017d5fc27,0
339,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
342,recog_random,Kapal,5d394d70daffca0017d5fc27,0
345,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
348,recog_random,Kapal,5d394d70daffca0017d5fc27,0
351,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
354,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
357,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
361,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
363,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
366,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
369,recog_random,Kapal,5d394d70daffca0017d5fc27,1
372,recog_random,Fukaya,5d394d70daffca0017d5fc27,1
376,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
378,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
381,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
385,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
387,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
391,recog_random,Jarbo,5d394d70daffca0017d5fc27,1
394,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
397,recog_random,Fukaya,5d394d70daffca0017d5fc27,1
399,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
402,recog_random,Jarbo,5d394d70daffca0017d5fc27,1
406,recog_random,Kapal,5d394d70daffca0017d5fc27,0
408,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
411,recog_random,Kapal,5d394d70daffca0017d5fc27,0
414,recog_random,Kapal,5d394d70daffca0017d5fc27,0
417,recog_random,Fukaya,5d394d70daffca0017d5fc27,1
420,recog_random,Kapal,5d394d70daffca0017d5fc27,0
423,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
426,recog_random,Kapal,5d394d70daffca0017d5fc27,0
430,recog_random,Kapal,5d394d70daffca0017d5fc27,0
432,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
435,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
438,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
442,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
445,recog_random,Kapal,5d394d70daffca0017d5fc27,0
448,recog_random,Fukaya,5d394d70daffca0017d5fc27,0
450,recog_random,Jarbo,5d394d70daffca0017d5fc27,1
453,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
457,recog_random,Kounudoun,5d394d70daffca0017d5fc27,1
460,recog_random,Jarbo,5d394d70daffca0017d5fc27,0
463,recog_random,Kapal,5d394d70daffca0017d5fc27,0
465,recog_random,Kounudoun,5d394d70daffca0017d5fc27,0
468,recog_random,Kapal,5d394d70daffca0017d5fc27,0
471,recog_random,Fukaya,5d394d70daffca0017d5fc27,1
634,recog_ordered,Barasai,5d394d70daffca0017d5fc27,0
637,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,0
638,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,1
641,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,0
644,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,0
647,recog_ordered,Barasai,5d394d70daffca0017d5fc27,1
651,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,0
654,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,0
656,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,0
660,recog_ordered,Barasai,5d394d70daffca0017d5fc27,0
663,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,1
666,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,0
669,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,0
672,recog_ordered,Barasai,5d394d70daffca0017d5fc27,0
674,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,0
678,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,0
680,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,0
684,recog_ordered,Barasai,5d394d70daffca0017d5fc27,1
687,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,0
689,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,1
692,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,1
695,recog_ordered,Barasai,5d394d70daffca0017d5fc27,0
699,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,1
701,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,1
704,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,1
707,recog_ordered,Barasai,5d394d70daffca0017d5fc27,0
710,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,1
713,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,1
716,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,1
719,recog_ordered,Barasai,5d394d70daffca0017d5fc27,0
723,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,1
726,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,1
728,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,1
731,recog_ordered,Barasai,5d394d70daffca0017d5fc27,1
734,recog_ordered,OnoJoe,5d394d70daffca0017d5fc27,0
737,recog_ordered,Chiba-kun,5d394d70daffca0017d5fc27,0
740,recog_ordered,Shimanekko,5d394d70daffca0017d5fc27,0
