,mascot_name,phase_id,video_context,Hit_Rate
0,OnoJoe,recog_random,rooftop,0.2549019607843137
1,Barasai,recog_random,cherry-blossoms,0.2809917355371901
2,Barasai,recog_random,dance-with-little-cheerleaders,0.47368421052631576
3,Fukaya,recog_random,balloons,0.24705882352941178
4,Fukaya,recog_random,cow-costume,0.3853211009174312
5,Shimanekko,recog_random,white-building,0.3867924528301887
6,Shimanekko,recog_random,clothing-design,0.21153846153846154
7,OnoJoe,recog_random,city-overlook,0.30578512396694213
8,Barasai,recog_random,train,0.5537190082644629
9,OnoJoe,recog_random,solo-dance-on-stage,0.32786885245901637
10,Shimanekko,recog_random,inside-house,0.42592592592592593
11,Fukaya,recog_random,waving,0.30526315789473685
12,Shimanekko,recog_random,bridge,0.5
13,Barasai,recog_random,rose-garden,0.22950819672131148
14,Shimanekko,recog_random,classroom,0.28703703703703703
15,Fukaya,recog_random,exercise-class,0.45935960591133007
16,Shimanekko,recog_random,clothing-design,0.21153846153846154
17,Shimanekko,recog_random,park,0.3371824480369515
18,OnoJoe,recog_random,park,0.3371824480369515
19,Barasai,recog_random,in-train,0.3140495867768595
20,Shimanekko,recog_random,museum-signs,0.2782608695652174
21,Fukaya,recog_random,exercise-class,0.45935960591133007
22,Shimanekko,recog_random,sidewalk,0.4576271186440678
23,Shimanekko,recog_random,indoor-event,0.39603960396039606
24,Fukaya,recog_random,CPR,0.4112903225806452
25,Barasai,recog_random,greenhouse,0.3884297520661157
26,Shimanekko,recog_random,beach,0.38911290322580644
27,OnoJoe,recog_random,room-with-curtains,0.4380165289256198
28,Fukaya,recog_random,shopping,0.38028169014084506
29,OnoJoe,recog_random,small-crowd-2,0.2809917355371901
30,Fukaya,recog_random,red-cars,0.33783783783783783
31,Shimanekko,recog_random,aquarium,0.5172413793103449
32,Fukaya,recog_random,exercise-class,0.45935960591133007
33,Barasai,recog_random,relay-race,0.5454545454545454
34,Barasai,recog_random,dance-with-announcers,0.27358490566037735
35,Shimanekko,recog_random,classroom,0.28703703703703703
36,OnoJoe,recog_random,dark-building,0.48672566371681414
37,Fukaya,recog_random,exercise-class,0.45935960591133007
38,OnoJoe,recog_random,building-5,0.4344262295081967
39,OnoJoe,recog_random,small-crowd-1,0.3114754098360656
40,OnoJoe,recog_random,building-7,0.2831858407079646
41,Shimanekko,recog_random,walking-around-outside-a-building,0.10743801652892562
42,Barasai,recog_random,monument,0.1885245901639344
43,Barasai,recog_random,carousel,0.45454545454545453
44,Barasai,recog_random,announcers,0.4075342465753425
45,Fukaya,recog_random,restaurants,0.47368421052631576
46,Barasai,recog_random,caligraphy,0.3670886075949367
47,OnoJoe,recog_random,highway,0.3305785123966942
48,Fukaya,recog_random,bench,0.37209302325581395
49,OnoJoe,recog_random,on-stage-1,0.37719298245614036
50,Fukaya,recog_random,tea-ceremony,0.3081395348837209
51,Barasai,recog_random,announcers,0.4075342465753425
52,Fukaya,recog_random,waving,0.30526315789473685
53,Barasai,recog_random,street,0.3691588785046729
54,OnoJoe,recog_random,lakeside,0.2831858407079646
55,Barasai,recog_random,dance-stage-with-background-musicians,0.21311475409836064
