randomise_blocks,randomise_trials,display,video_fname,ANSWER,tour_string,mascot_color_id,fam_string,trial_number,phase_id,stim_type,mascot_name,action_bare,video_context,action_number,mascot_name_format_matched
,,instructions,none,,,,,0,overall_instructions,none,none,none,none,0.0,
,,enc_instructions,none,,,,,0,instructions,none,none,none,none,0.0,
,,mascot_familiarization,chiba-kun-white-background.jpg,,,,,0,mascot_familiarization_random,mascot_stills,chiba-kun-white-background.jpg,chiba-kun-white-background.jpg,,,
,,mascot_familiarization,shimanekko-white-background.jpeg,,,,,1,mascot_familiarization_random,mascot_stills,shimanekko-white-background.jpeg,shimanekko-white-background.jpeg,,,
,,mascot_familiarization,kapal-white-background.jpg,,,,,2,mascot_familiarization_random,mascot_stills,kapal-white-background.jpg,kapal-white-background.jpg,,,
,,mascot_familiarization,jarbo.jpg,,,,,3,mascot_familiarization_random,mascot_stills,jarbo.jpg,jarbo.jpg,,,
,,fam_enc_transition,none,,,,,0,instructions,none,none,none,none,0.0,
,,study_trials,Jarbo_school-auditorium_dance-routine-1.mp4,,,,,0,enc_random,studied,Jarbo,Jarbo_school-auditorium_dance-routine,school-auditorium,1.0,
,,study_trials,Shimanekko_walking-around-outside-a-building_posing-for-a-picture-0.mp4,,,,,1,enc_random,studied,Shimanekko,Shimanekko_walking-around-outside-a-building_posing-for-a-picture,walking-around-outside-a-building,0.0,
,,study_trials,Kapal_beers_drinking-1.mp4,,,,,2,enc_random,studied,Kapal,Kapal_beers_drinking,beers,1.0,
,,study_trials,Jarbo_mall-2_dancing-0.mp4,,,,,3,enc_random,studied,Jarbo,Jarbo_mall-2_dancing,mall-2,0.0,
,,study_trials,Chiba-kun_stairs_walking-while-praying-0.mp4,,,,,4,enc_random,studied,Chiba-kun,Chiba-kun_stairs_walking-while-praying,stairs,0.0,
,,study_trials,Jarbo_roof_with-cheerleaders-0.mp4,,,,,5,enc_random,studied,Jarbo,Jarbo_roof_with-cheerleaders,roof,0.0,
,,study_trials,Shimanekko_bridge_showing-viewer-bridge-0.mp4,,,,,6,enc_random,studied,Shimanekko,Shimanekko_bridge_showing-viewer-bridge,bridge,0.0,
,,study_trials,Shimanekko_scientist_learning-1.mp4,,,,,7,enc_random,studied,Shimanekko,Shimanekko_scientist_learning,scientist,1.0,
,,study_trials,Kapal_hallway_running-and-posing-0.mp4,,,,,8,enc_random,studied,Kapal,Kapal_hallway_running-and-posing,hallway,0.0,
,,study_trials,Kapal_batting-cage_batting-9.mp4,,,,,9,enc_random,studied,Kapal,Kapal_batting-cage_batting,batting-cage,9.0,
,,study_trials,Chiba-kun_reporters_interview-0.mp4,,,,,10,enc_random,studied,Chiba-kun,Chiba-kun_reporters_interview,reporters,0.0,
,,study_trials,Jarbo_street-2_with-tennis-players-1.mp4,,,,,11,enc_random,studied,Jarbo,Jarbo_street-2_with-tennis-players,street-2,1.0,
,,study_trials,Chiba-kun_waterfront_looking-out-to-waterfront-0.mp4,,,,,12,enc_random,studied,Chiba-kun,Chiba-kun_waterfront_looking-out-to-waterfront,waterfront,0.0,
,,study_trials,Chiba-kun_restaurant-alone_eating-2.mp4,,,,,13,enc_random,studied,Chiba-kun,Chiba-kun_restaurant-alone_eating,restaurant-alone,2.0,
,,study_trials,Shimanekko_beach_dusting-off-sand-while-standing-up-0.mp4,,,,,14,enc_random,studied,Shimanekko,Shimanekko_beach_dusting-off-sand-while-standing-up,beach,0.0,
,,study_trials,Chiba-kun_train-station_waving-0.mp4,,,,,15,enc_random,studied,Chiba-kun,Chiba-kun_train-station_waving,train-station,0.0,
,,study_trials,Kapal_learning-dance_learning-dance-1.mp4,,,,,16,enc_random,studied,Kapal,Kapal_learning-dance_learning-dance,learning-dance,1.0,
,,study_trials,Chiba-kun_running_running-from-distance-1.mp4,,,,,17,enc_random,studied,Chiba-kun,Chiba-kun_running_running-from-distance,running,1.0,
,,study_trials,Kapal_interview_dancing-0.mp4,,,,,18,enc_random,studied,Kapal,Kapal_interview_dancing,interview,0.0,
,,study_trials,Chiba-kun_tea-ceremony_drinking-tea-0.mp4,,,,,19,enc_random,studied,Chiba-kun,Chiba-kun_tea-ceremony_drinking-tea,tea-ceremony,0.0,
,,study_trials,Kapal_outside-dance-studio_looking-inside-3.mp4,,,,,20,enc_random,studied,Kapal,Kapal_outside-dance-studio_looking-inside,outside-dance-studio,3.0,
,,study_trials,Kapal_bathtub_going-in-bathtub-0.mp4,,,,,21,enc_random,studied,Kapal,Kapal_bathtub_going-in-bathtub,bathtub,0.0,
,,study_trials,Kapal_white-hills_walking-1.mp4,,,,,22,enc_random,studied,Kapal,Kapal_white-hills_walking,white-hills,1.0,
,,study_trials,Jarbo_bus_boarding-bus-0.mp4,,,,,23,enc_random,studied,Jarbo,Jarbo_bus_boarding-bus,bus,0.0,
,,study_trials,Kapal_riding-chair_rolling-in-chair-0.mp4,,,,,24,enc_random,studied,Kapal,Kapal_riding-chair_rolling-in-chair,riding-chair,0.0,
,,study_trials,Kapal_dance-performance_dancing-0.mp4,,,,,25,enc_random,studied,Kapal,Kapal_dance-performance_dancing,dance-performance,0.0,
