randomise_blocks,randomise_trials,display,video_fname,ANSWER,tour_string,mascot_color_id,fam_string,trial_number,phase_id,stim_type,mascot_name,action_bare,video_context,action_number,mascot_name_format_matched
,,instructions,none,,,,,0,overall_instructions,none,none,none,none,0.0,
,,enc_instructions,none,,,,,0,instructions,none,none,none,none,0.0,
,,mascot_familiarization,kapal-white-background.jpg,,,,,0,mascot_familiarization_ordered,mascot_stills,kapal-white-background.jpg,kapal-white-background.jpg,,,
,,mascot_familiarization,jarbo.jpg,,,,,1,mascot_familiarization_ordered,mascot_stills,jarbo.jpg,jarbo.jpg,,,
,,mascot_familiarization,ono-joe.jpeg,,,,,2,mascot_familiarization_ordered,mascot_stills,ono-joe.jpeg,ono-joe.jpeg,,,
,,mascot_familiarization,fukaya-white-background.jpeg,,,,,3,mascot_familiarization_ordered,mascot_stills,fukaya-white-background.jpeg,fukaya-white-background.jpeg,,,
,,fam_enc_transition,none,,,,,0,instructions,none,none,none,none,0.0,
,,study_trials,Jarbo_roof_with-cheerleaders-0.mp4,,,,,0,enc_ordered,studied,Jarbo,Jarbo_roof_with-cheerleaders,roof,0.0,
,,study_trials,Fukaya_exercise-class_marching-0.mp4,,,,,1,enc_ordered,studied,Fukaya,Fukaya_exercise-class_marching,exercise-class,0.0,
,,study_trials,OnoJoe_dark-building_dancing-1.mp4,,,,,2,enc_ordered,studied,OnoJoe,OnoJoe_dark-building_dancing,dark-building,1.0,
,,study_trials,Kapal_riding-chair_rolling-in-chair-0.mp4,,,,,3,enc_ordered,studied,Kapal,Kapal_riding-chair_rolling-in-chair,riding-chair,0.0,
,,study_trials,Jarbo_factory-2_walking-around-0.mp4,,,,,4,enc_ordered,studied,Jarbo,Jarbo_factory-2_walking-around,factory-2,0.0,
,,study_trials,Fukaya_CPR_practicing-CPR-2.mp4,,,,,5,enc_ordered,studied,Fukaya,Fukaya_CPR_practicing-CPR,CPR,2.0,
,,study_trials,OnoJoe_on-stage-1_acknowledging-crowd-0.mp4,,,,,6,enc_ordered,studied,OnoJoe,OnoJoe_on-stage-1_acknowledging-crowd,on-stage-1,0.0,
,,study_trials,Kapal_white-hills_walking-1.mp4,,,,,7,enc_ordered,studied,Kapal,Kapal_white-hills_walking,white-hills,1.0,
,,study_trials,Jarbo_outside_with-crowd-0.mp4,,,,,8,enc_ordered,studied,Jarbo,Jarbo_outside_with-crowd,outside,0.0,
,,study_trials,Fukaya_balloons_holding-balloon-0.mp4,,,,,9,enc_ordered,studied,Fukaya,Fukaya_balloons_holding-balloon,balloons,0.0,
,,study_trials,OnoJoe_dance-in-front-of-white-tents_dance-routine-0.mp4,,,,,10,enc_ordered,studied,OnoJoe,OnoJoe_dance-in-front-of-white-tents_dance-routine,dance-in-front-of-white-tents,0.0,
,,study_trials,Kapal_hallway_marching-0.mp4,,,,,11,enc_ordered,studied,Kapal,Kapal_hallway_marching,hallway,0.0,
,,study_trials,Jarbo_mall-3_dancing-with-crowd-0.mp4,,,,,12,enc_ordered,studied,Jarbo,Jarbo_mall-3_dancing-with-crowd,mall-3,0.0,
,,study_trials,Fukaya_exercise-class_bending-knees-0.mp4,,,,,13,enc_ordered,studied,Fukaya,Fukaya_exercise-class_bending-knees,exercise-class,0.0,
,,study_trials,OnoJoe_on-stage-2_talking-to-announcers-0.mp4,,,,,14,enc_ordered,studied,OnoJoe,OnoJoe_on-stage-2_talking-to-announcers,on-stage-2,0.0,
,,study_trials,Kapal_outside-dance-studio_looking-inside-3.mp4,,,,,15,enc_ordered,studied,Kapal,Kapal_outside-dance-studio_looking-inside,outside-dance-studio,3.0,
,,study_trials,Jarbo_group-dance-in-gym_dancing-together-0.mp4,,,,,16,enc_ordered,studied,Jarbo,Jarbo_group-dance-in-gym_dancing-together,group-dance-in-gym,0.0,
,,study_trials,Fukaya_presents_recieving-gifts-0.mp4,,,,,17,enc_ordered,studied,Fukaya,Fukaya_presents_recieving-gifts,presents,0.0,
,,study_trials,OnoJoe_small-crowd-2_touching-hair-0.mp4,,,,,18,enc_ordered,studied,OnoJoe,OnoJoe_small-crowd-2_touching-hair,small-crowd-2,0.0,
,,study_trials,Kapal_bathtub_going-in-bathroom-0.mp4,,,,,19,enc_ordered,studied,Kapal,Kapal_bathtub_going-in-bathroom,bathtub,0.0,
,,study_trials,Jarbo_park_dancing-1.mp4,,,,,20,enc_ordered,studied,Jarbo,Jarbo_park_dancing,park,1.0,
,,study_trials,Fukaya_exercise-class_turning-0.mp4,,,,,21,enc_ordered,studied,Fukaya,Fukaya_exercise-class_turning,exercise-class,0.0,
,,study_trials,OnoJoe_small-crowd-1_intro-to-crowd-0.mp4,,,,,22,enc_ordered,studied,OnoJoe,OnoJoe_small-crowd-1_intro-to-crowd,small-crowd-1,0.0,
,,study_trials,Kapal_hallway_playing-with-toy-2.mp4,,,,,23,enc_ordered,studied,Kapal,Kapal_hallway_playing-with-toy,hallway,2.0,
,,study_trials,Jarbo_building-3_taking-pictures-0.mp4,,,,,24,enc_ordered,studied,Jarbo,Jarbo_building-3_taking-pictures,building-3,0.0,
