,condition,mascot_name,Participant_Public_ID,hit_binary
240,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
243,recog_random,Barasai,5cbf7734aae1180017942e45,1
246,recog_random,Barasai,5cbf7734aae1180017942e45,1
249,recog_random,Fukaya,5cbf7734aae1180017942e45,0
252,recog_random,Fukaya,5cbf7734aae1180017942e45,0
255,recog_random,Shimanekko,5cbf7734aae1180017942e45,0
258,recog_random,Shimanekko,5cbf7734aae1180017942e45,0
261,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
264,recog_random,Barasai,5cbf7734aae1180017942e45,1
267,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
270,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
273,recog_random,Fukaya,5cbf7734aae1180017942e45,0
276,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
279,recog_random,Barasai,5cbf7734aae1180017942e45,1
282,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
285,recog_random,Fukaya,5cbf7734aae1180017942e45,0
288,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
291,recog_random,Shimanekko,5cbf7734aae1180017942e45,0
294,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
297,recog_random,Barasai,5cbf7734aae1180017942e45,0
300,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
303,recog_random,Fukaya,5cbf7734aae1180017942e45,0
306,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
309,recog_random,Shimanekko,5cbf7734aae1180017942e45,0
312,recog_random,Fukaya,5cbf7734aae1180017942e45,1
315,recog_random,Barasai,5cbf7734aae1180017942e45,0
318,recog_random,Shimanekko,5cbf7734aae1180017942e45,0
321,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
324,recog_random,Fukaya,5cbf7734aae1180017942e45,1
327,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
330,recog_random,Fukaya,5cbf7734aae1180017942e45,1
333,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
336,recog_random,Fukaya,5cbf7734aae1180017942e45,0
339,recog_random,Barasai,5cbf7734aae1180017942e45,1
342,recog_random,Barasai,5cbf7734aae1180017942e45,0
345,recog_random,Shimanekko,5cbf7734aae1180017942e45,0
348,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
351,recog_random,Fukaya,5cbf7734aae1180017942e45,0
354,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
357,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
360,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
363,recog_random,Shimanekko,5cbf7734aae1180017942e45,0
366,recog_random,Barasai,5cbf7734aae1180017942e45,0
369,recog_random,Barasai,5cbf7734aae1180017942e45,1
372,recog_random,Barasai,5cbf7734aae1180017942e45,0
375,recog_random,Fukaya,5cbf7734aae1180017942e45,0
378,recog_random,Barasai,5cbf7734aae1180017942e45,0
381,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
384,recog_random,Fukaya,5cbf7734aae1180017942e45,0
387,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
390,recog_random,Fukaya,5cbf7734aae1180017942e45,0
393,recog_random,Barasai,5cbf7734aae1180017942e45,1
396,recog_random,Fukaya,5cbf7734aae1180017942e45,0
399,recog_random,Barasai,5cbf7734aae1180017942e45,0
402,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
405,recog_random,Barasai,5cbf7734aae1180017942e45,0
408,recog_random,Fukaya,5cbf7734aae1180017942e45,1
411,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
414,recog_random,Fukaya,5cbf7734aae1180017942e45,1
417,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
420,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
423,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
426,recog_random,Fukaya,5cbf7734aae1180017942e45,0
429,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
432,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
435,recog_random,Fukaya,5cbf7734aae1180017942e45,0
438,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
441,recog_random,Fukaya,5cbf7734aae1180017942e45,1
444,recog_random,OnoJoe,5cbf7734aae1180017942e45,1
447,recog_random,Fukaya,5cbf7734aae1180017942e45,0
450,recog_random,Barasai,5cbf7734aae1180017942e45,1
453,recog_random,Barasai,5cbf7734aae1180017942e45,0
456,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
459,recog_random,OnoJoe,5cbf7734aae1180017942e45,0
462,recog_random,Barasai,5cbf7734aae1180017942e45,1
465,recog_random,Shimanekko,5cbf7734aae1180017942e45,1
468,recog_random,Barasai,5cbf7734aae1180017942e45,0
471,recog_random,Fukaya,5cbf7734aae1180017942e45,1
